datetime,Open,High,Low,Close,Volume
2021-10-11 04:00:00,14765.6904296875,14907.5703125,14709.0498046875,14713.73046875,3539540000
2021-10-12 04:00:00,14772.2900390625,14784.7802734375,14636.330078125,14662.1103515625,4063830000
2021-10-13 04:00:00,14751.7998046875,14800.830078125,14676.580078125,14774.599609375,4053580000
2021-10-14 04:00:00,14925.580078125,15059.8896484375,14901.58984375,15052.419921875,4262400000
2021-10-15 04:00:00,15106.9697265625,15150.1396484375,15064.58984375,15146.919921875,4494440000
2021-10-18 04:00:00,15091.580078125,15307.509765625,15074.7099609375,15300.8896484375,4167740000
2021-10-19 04:00:00,15349.4501953125,15414.9697265625,15320.6201171875,15410.7197265625,4483400000
2021-10-20 04:00:00,15448.0,15457.1103515625,15333.4296875,15388.7099609375,4117050000
2021-10-21 04:00:00,15365.8095703125,15497.580078125,15350.5,15489.58984375,4961860000
2021-10-22 04:00:00,15422.0703125,15474.2802734375,15291.9501953125,15355.0703125,5775770000
2021-10-25 04:00:00,15417.25,15555.650390625,15338.490234375,15514.1904296875,5750200000
2021-10-26 04:00:00,15615.3603515625,15710.7900390625,15518.58984375,15559.490234375,7173230000
2021-10-27 04:00:00,15603.16015625,15729.75,15578.6796875,15598.3896484375,6130110000
2021-10-28 04:00:00,15674.3896484375,15784.0,15650.009765625,15778.16015625,5714890000
2021-10-29 04:00:00,15638.740234375,15856.900390625,15638.740234375,15850.4697265625,5338290000
2021-11-01 04:00:00,15879.6103515625,15910.349609375,15785.3095703125,15905.2802734375,5273950000
2021-11-02 04:00:00,15885.33984375,15988.330078125,15877.26953125,15972.490234375,5129370000
2021-11-03 04:00:00,16000.599609375,16157.599609375,15950.58984375,16144.5,5325110000
2021-11-04 04:00:00,16193.2197265625,16387.94921875,16169.5595703125,16346.240234375,5297250000
2021-11-05 04:00:00,16397.58984375,16454.48046875,16302.0595703125,16359.3798828125,5566400000
2021-11-08 05:00:00,16351.490234375,16401.9296875,16314.0,16336.0302734375,5723650000
2021-11-09 05:00:00,16389.990234375,16401.890625,16168.6298828125,16219.9404296875,5574660000
2021-11-10 05:00:00,16087.01953125,16224.509765625,15905.2802734375,15985.5703125,5369110000
2021-11-11 05:00:00,16114.0498046875,16116.25,16019.3896484375,16032.4697265625,4570460000
2021-11-12 05:00:00,16078.1298828125,16218.5498046875,16012.7802734375,16199.8896484375,5446540000
2021-11-15 05:00:00,16227.009765625,16256.73046875,16096.3701171875,16189.1201171875,5020180000
2021-11-16 05:00:00,16170.2900390625,16329.5,16156.6904296875,16309.76953125,5533020000
2021-11-17 05:00:00,16329.0703125,16398.94921875,16276.76953125,16308.0703125,5049320000
2021-11-18 05:00:00,16398.759765625,16501.919921875,16309.509765625,16482.970703125,5391360000
2021-11-19 05:00:00,16558.560546875,16625.859375,16523.830078125,16573.33984375,4875310000
2021-11-22 05:00:00,16644.76953125,16764.859375,16374.7802734375,16380.98046875,5567830000
2021-11-23 05:00:00,16330.1796875,16417.5,16121.7001953125,16306.7197265625,5434380000
2021-11-24 05:00:00,16202.259765625,16370.5595703125,16106.01953125,16367.8095703125,4197090000
2021-11-26 05:00:00,16237.41015625,16302.580078125,15988.9501953125,16025.580078125,3502170000
2021-11-29 05:00:00,16263.4296875,16437.16015625,16214.5595703125,16399.240234375,4836230000
2021-11-30 05:00:00,16333.9501953125,16454.560546875,16073.759765625,16135.919921875,6631470000
2021-12-01 05:00:00,16347.9599609375,16427.189453125,15864.0,15877.7197265625,6320260000
2021-12-02 05:00:00,15791.2998046875,16066.3203125,15770.919921875,15990.759765625,5418340000
2021-12-03 05:00:00,16039.41015625,16089.6103515625,15543.3095703125,15712.0400390625,5900290000
2021-12-06 05:00:00,15744.91015625,15898.58984375,15557.7802734375,15846.16015625,5115230000
2021-12-07 05:00:00,16139.5595703125,16343.669921875,16128.4404296875,16325.66015625,5116490000
2021-12-08 05:00:00,16313.8798828125,16401.099609375,16250.3896484375,16394.33984375,4615390000
2021-12-09 05:00:00,16337.8095703125,16413.279296875,16141.3896484375,16149.5703125,4515600000
2021-12-10 05:00:00,16278.2998046875,16339.1201171875,16139.0,16331.98046875,4426210000
2021-12-13 05:00:00,16317.900390625,16332.6298828125,16075.5400390625,16082.5498046875,4573920000
2021-12-14 05:00:00,15877.650390625,15995.2099609375,15742.7998046875,15914.900390625,4865990000
2021-12-15 05:00:00,15908.4501953125,16301.26953125,15746.9404296875,16289.58984375,5343920000
2021-12-16 05:00:00,16335.0302734375,16340.5302734375,15802.6298828125,15863.9404296875,4906480000
2021-12-17 05:00:00,15714.5400390625,15960.25,15664.099609375,15801.4599609375,7668770000
2021-12-20 05:00:00,15566.830078125,15662.6103515625,15508.740234375,15627.6396484375,4602640000
2021-12-21 05:00:00,15794.3798828125,15997.6103515625,15617.48046875,15986.2802734375,4581720000
2021-12-22 05:00:00,15963.5400390625,16186.25,15947.5595703125,16180.1396484375,4107900000
2021-12-23 05:00:00,16203.759765625,16360.75,16188.0302734375,16308.2099609375,3935010000
2021-12-27 05:00:00,16361.0703125,16567.640625,16361.0703125,16567.5,3743920000
2021-12-28 05:00:00,16602.919921875,16607.189453125,16458.490234375,16488.66015625,3648500000
2021-12-29 05:00:00,16510.630859375,16548.919921875,16396.16015625,16491.009765625,3714380000
2021-12-30 05:00:00,16485.400390625,16569.619140625,16415.119140625,16429.099609375,3750920000
